Stift;Enhet;Löneservice;Antal konton
Göteborgs stift;Askims församling;Ja;39
Göteborgs stift;Backa pastorat;Ja;74
Göteborgs stift;Björketorps församling;Ja;22
Göteborgs stift;Bokenäsets församling;Ja;15
Göteborgs stift;Carl Johans pastorat;Ja;101
Göteborgs stift;Domkyrkopastoratet;Ja;208
Göteborgs stift;Falkenbergs pastorat;Ja;210
Göteborgs stift;Göteborgs stift;Ja;185
Göteborgs stift;Halmstads församling;Ja;237
Göteborgs stift;Herrestads församling;Ja;20
Göteborgs stift;Höks pastorat;Ja;52
Göteborgs stift;Kinds pastorat;Ja;96
Göteborgs stift;Kinna-Fritsla församling;Ja;26
Göteborgs stift;Kungsbacka pastorat;Ja;78
Göteborgs stift;Kungälv-Ytterby församling;Ja;67
Göteborgs stift;Laholms pastorat;Ja;42
Göteborgs stift;Lerums församling;Ja;60
Göteborgs stift;Lindome församling;Ja;30
Göteborgs stift;Ljungskile församling;Ja;26
Göteborgs stift;Lundby församling;Ja;69
Göteborgs stift;Marstrand-Torsby pastorat;Ja;37
Göteborgs stift;Munkedals församling;Ja;38
Göteborgs stift;Mölndals pastorat;Ja;129
Göteborgs stift;Nylöse pastorat;Ja;93
Göteborgs stift;Orusts pastorat;Ja;58
Göteborgs stift;Partille pastorat;Ja;82
Göteborgs stift;Romelanda pastorat;Ja;40
Göteborgs stift;Skepplanda pastorat;Ja;22
Göteborgs stift;Solberga pastorat;Ja;48
Göteborgs stift;Starrkärr-Kilanda församling;Ja;28
Göteborgs stift;Stenungsunds pastorat;Ja;39
Göteborgs stift;Stora Lundby-Östad pastorat;Ja;33
Göteborgs stift;Strömstads pastorat;Ja;45
Göteborgs stift;Särö pastorat;Ja;63
Göteborgs stift;Torestorps pastorat;Ja;15
Göteborgs stift;Torslanda-Björlanda församling;Ja;52
Göteborgs stift;Tvååkers pastorat;Ja;18
Göteborgs stift;Uddevalla pastorat;Ja;161
Göteborgs stift;Varbergs församling;Ja;108
Göteborgs stift;Västra Frölunda pastorat;Ja;123
Göteborgs stift;Öckerö församling;Ja;53
Göteborgs stift;Örby-Skene församling;Ja;25
Göteborgs stift;Örgryte pastorat;Ja;114
Göteborgs stift;Bollebygds pastorat;Nej;22
Göteborgs stift;Fjärås-Förlanda församling;Nej;16
Göteborgs stift;Getinge-Oskarströms pastorat;Nej;37
Göteborgs stift;Göteborgs begravningssamfällighet;Nej;477
Göteborgs stift;Harplinge-Steninge församling;Nej;48
Göteborgs stift;Himledalens församling;Nej;18
Göteborgs stift;Istorps pastorat;Nej;8
Göteborgs stift;Landvetter-Härryda pastorat;Nej;35
Göteborgs stift;Lilla Edets pastorat;Nej;27
Göteborgs stift;Lindberga församling;Nej;24
Göteborgs stift;Lysekils pastorat;Nej;45
Göteborgs stift;Löftadalens pastorat;Nej;57
Göteborgs stift;Nödinge församling;Nej;21
Göteborgs stift;Onsala församling;Nej;39
Göteborgs stift;Råda församling;Nej;31
Göteborgs stift;Skallsjö församling;Nej;16
Göteborgs stift;Snöstorps församling;Nej;69
Göteborgs stift;Sotenäs pastorat;Nej;48
Göteborgs stift;Spekeröd-Ucklums församling;Nej;9
Göteborgs stift;Sätila pastorat;Nej;22
Göteborgs stift;Söndrum-Vapnö församling;Nej;45
Göteborgs stift;Tanums pastorat;Nej;60
Göteborgs stift;Tjörns pastorat;Nej;49
Göteborgs stift;Träslövs församling;Nej;19
Göteborgs stift;Veddige-Kungsäters församling;Nej;25
Göteborgs stift;Värö-Stråvalla församling;Nej;11
Göteborgs stift;Västra Marks församling;Nej;13
Härnösands stift;Häggenås-Lit-Kyrkås församling;Ja;14
Härnösands stift;Härjedalens pastorat;Ja;45
Härnösands stift;Härnösands pastorat;Ja;88
Härnösands stift;Härnösands stift;Ja;115
Härnösands stift;Kramfors pastorat;Ja;59
Härnösands stift;Medelpads södra pastorat;Ja;257
Härnösands stift;Strömsunds pastorat;Ja;46
Härnösands stift;Sydöstra Jämtlands pastorat;Ja;218
Härnösands stift;Östersunds församling;Ja;71
Härnösands stift;Frösö, Sunne och Norderö församling;Nej;32
Härnösands stift;Krokoms pastorat;Nej;55
Härnösands stift;Medelpads norra pastorat;Nej;117
Härnösands stift;Sollefteå pastorat;Nej;63
Härnösands stift;Åre pastorat;Nej;50
Härnösands stift;Örnsköldsviks norra pastorat;Nej;85
Härnösands stift;Örnsköldsviks södra pastorat;Nej;180
Karlstads stift;Forshaga-Munkfors församling;Ja;46
Karlstads stift;Färgelanda-Högsäters församling;Ja;30
Karlstads stift;Grava församling;Ja;24
Karlstads stift;Hagfors pastorat;Ja;37
Karlstads stift;Hammarö församling;Ja;36
Karlstads stift;Karlstads pastorat;Ja;282
Karlstads stift;Karlstads stift;Ja;99
Karlstads stift;Kristinehamns församling;Ja;107
Karlstads stift;Melleruds församling;Ja;59
Karlstads stift;Nordmarkens pastorat;Ja;59
Karlstads stift;Nor-Segerstads församling;Ja;14
Karlstads stift;Steneby församling;Ja;21
Karlstads stift;Storfors församling;Ja;22
Karlstads stift;Sunne pastorat;Ja;67
Karlstads stift;Säffle pastorat;Ja;107
Karlstads stift;Åmåls församling;Ja;40
Karlstads stift;Övre Älvdals församling;Ja;28
Karlstads stift;Arvika pastorat;Nej;61
Karlstads stift;Brålandabygdens församling;Nej;13
Karlstads stift;Dals-Eds församling;Nej;15
Karlstads stift;Eda-Köla pastorat;Nej;23
Karlstads stift;Ekshärads församling;Nej;10
Karlstads stift;Filipstads församling;Nej;33
Karlstads stift;Fryksände pastorat;Nej;30
Karlstads stift;Frändefors församling;Nej;13
Karlstads stift;Grums pastorat;Nej;32
Karlstads stift;Kils pastorat;Nej;28
Karlstads stift;Lysviks församling;Nej;5
Karlstads stift;Södra Bergslagens pastorat;Nej;109
Karlstads stift;Ärtemarks pastorat;Nej;18
Linköpings stift;Linköpings stift;Ja;139
Linköpings stift;Vimmerby pastorat;Ja;60
Linköpings stift;Vist/Vårdnäs pastorat;Ja;32
Linköpings stift;Åkerbo församling;Ja;78
Linköpings stift;Östra Ryds församling;Ja;14
Linköpings stift;Aneby pastorat;Nej;25
