Adolf Fredriks församling;Stockholms stift
Alfta-Ovanåkers församling;Uppsala stift
Alingsås pastorat;Skara stift
Allerums pastorat;Lunds stift
Almunge pastorat;Uppsala stift
Alunda församling;Uppsala stift
Alvesta församling;Växjö stift
Amnehärad-Lyrestads pastorat;Skara stift
Anderslövs församling;Lunds stift
Aneby pastorat;Linköpings stift
Araslövs församling;Lunds stift
Arbogabygdens församling;Västerås stift
Arjeplog-Arvidsjaurs pastorat;Luleå stift
Arvika pastorat;Karlstads stift
Asarum-Ringamåla församling;Lunds stift
Asker-Lännäs församling;Strängnäs stift
Askersunds pastorat;Strängnäs stift
Askims församling;Göteborgs stift
Aspelands pastorat;Linköpings stift
Avesta-Grytnäs församling;Västerås stift
Backa pastorat;Göteborgs stift
Balingsta pastorat;Uppsala stift
Bankeryds församling;Växjö stift
Barkåkra församling;Lunds stift
Barnarp-Ödestugu församling;Växjö stift
Berga pastorat;Växjö stift
Bergsjö församling;Uppsala stift
Bettna församling;Strängnäs stift
Bjursås församling;Västerås stift
Bjuvs församling;Lunds stift
Bjärke församling;Skara stift
Bjärnums pastorat;Lunds stift
Bjärreds församling;Lunds stift
Björketorps församling;Göteborgs stift
Björklinge-Skuttunge-Viksta pastorat;Uppsala stift
Björkviks församling;Strängnäs stift
Björnekulla-Västra Broby församling;Lunds stift
Blentarps församling;Lunds stift
Bodarne pastorat;Strängnäs stift
Bodens pastorat;Luleå stift
Bokenäsets församling;Göteborgs stift
Bollebygds pastorat;Göteborgs stift
Bollnäs pastorat;Uppsala stift
Boo församling;Stockholms stift
Borensbergs pastorat;Linköpings stift
Borås församling;Skara stift
Botkyrka församling;Stockholms stift
Bredaryds pastorat;Växjö stift
Bro församling;Uppsala stift
Broby-Emmislövs församling;Lunds stift
Bromma församling;Stockholms stift
Bromölla pastorat;Lunds stift
Brunnby församling;Lunds stift
Brännkyrka församling;Stockholms stift
Brålandabygdens församling;Karlstads stift
Brösarp-Tranås församling;Lunds stift
Bureå församling;Luleå stift
Burlövs församling;Lunds stift
Burs pastorat;Visby stift
Burträsk-Lövångers pastorat;Luleå stift
By-Folkärna pastorat;Västerås stift
Byarums pastorat;Växjö stift
Bygdeå församling;Luleå stift
Bälingebygdens församling;Uppsala stift
Bärke pastorat;Västerås stift
Båstad-Östra Karups församling;Lunds stift
Carl Johans pastorat;Göteborgs stift
Daga församling;Strängnäs stift
Dalby församling;Lunds stift
Dalköpinge församling;Lunds stift
Dals-Eds församling;Karlstads stift
Danderyds församling;Stockholms stift
Danmark-Funbo församling;Uppsala stift
Dannemorabygdens församling;Uppsala stift
Degeberga-Everöds församling;Lunds stift
Dellenbygdens pastorat;Uppsala stift
Djurö, Möja och Nämdö församling;Stockholms stift
Domkyrkopastoratet;Göteborgs stift
Dunker-Lilla Malma församling;Strängnäs stift
Döderhults församling;Växjö stift
Dörby-Hossmo pastorat;Växjö stift
Dösjebro församling;Lunds stift
Eda-Köla pastorat;Karlstads stift
Ekerö pastorat;Stockholms stift
Ekshärads församling;Karlstads stift
Emmaboda pastorat;Växjö stift
Engelbrekts församling;Stockholms stift
Enköpings pastorat;Uppsala stift
Enskede-Årsta församling;Stockholms stift
Enånger-Njutångers församling;Uppsala stift
Eskelhems pastorat;Visby stift
Eskilstuna pastorat;Strängnäs stift
Eslövs pastorat;Lunds stift
Essunga pastorat;Skara stift
Falkenbergs pastorat;Göteborgs stift
Falköpings pastorat;Skara stift
Falu pastorat;Västerås stift
Fardhem-Garde pastorat;Visby stift
Farsta församling;Stockholms stift
Filipstads församling;Karlstads stift
Finska församlingen;Stockholms stift
Finspångs församling;Linköpings stift
Fjälkinge församling;Lunds stift
Fjärås-Förlanda församling;Göteborgs stift
Flen, Helgesta-Hyltinge församling;Strängnäs stift
Floby pastorat;Skara stift
Folkungabygdens pastorat;Linköpings stift
Forsa-Högs församling;Uppsala stift
Forshaga-Munkfors församling;Karlstads stift
Forshedabygdens församling;Växjö stift
Fridlevstads församling;Lunds stift
Fristads församling;Skara stift
